eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,213,0.0062754694,0.32666016,3.0050378,-0.0150659615,0.0057097883,-10.563714981079102,1,128,2.402640008999999,512
nan,nan,235,0.0058062496,0.31298828,3.0791001,-0.012477392,0.0015079834,-1.2957191467285156,2,256,4.607759694999999,1024
nan,nan,230,0.005351031,0.35058594,3.045858,-0.016355762,0.0013503691,-1.2648918628692627,3,384,6.831719753,1536
